Elections2014	{"userID":"1145531713","text":"!! RT @POWER987News: #Elections2014 Langsberg: #EFF faces a risk of personality clashes, says if party transcends this, could be successful","created_at":"20140508-052826","id_str":"464275613160054784"}
EFF	{"userID":"1145531713","text":"!! RT @POWER987News: #Elections2014 Langsberg: #EFF faces a risk of personality clashes, says if party transcends this, could be successful","created_at":"20140508-052826","id_str":"464275613160054784"}
CFC	{"userID":"301946192","text":"!! RT @chelseafc GOAL: Chelsea 1 PSG 0 #CFC","created_at":"20140408-191812","id_str":"453612794839977984"}
LastHourMix	{"userID":"1554032136","text":"!! \"@Fuego_Del_Mar: My Hommie @ScotchFlavio on #LastHourMix #UrbanBeat @METROFMSA . Show Them What #015 #Limpopo Does Poi.\"","created_at":"20140328-221857","id_str":"449672015516299264"}
UrbanBeat	{"userID":"1554032136","text":"!! \"@Fuego_Del_Mar: My Hommie @ScotchFlavio on #LastHourMix #UrbanBeat @METROFMSA . Show Them What #015 #Limpopo Does Poi.\"","created_at":"20140328-221857","id_str":"449672015516299264"}
Limpopo	{"userID":"1554032136","text":"!! \"@Fuego_Del_Mar: My Hommie @ScotchFlavio on #LastHourMix #UrbanBeat @METROFMSA . Show Them What #015 #Limpopo Does Poi.\"","created_at":"20140328-221857","id_str":"449672015516299264"}
QnA	{"userID":"524423504","text":"!! \"@Questionnier: Are you educated ? RT @ThatGalEli: Namibia RT @Questionnier: Which continent will you love to marry from? #QnA\"","created_at":"20140518-112846","id_str":"467990172668555264"}
eaaa	{"userID":"80478972","text":"!! \"@adeprita: Kangen #eaaa RT ThiaSoediro: Ngantuk sih, tapi... #soaltapi\"","created_at":"20140421-152210","id_str":"458264437355323392"}
soaltapi	{"userID":"80478972","text":"!! \"@adeprita: Kangen #eaaa RT ThiaSoediro: Ngantuk sih, tapi... #soaltapi\"","created_at":"20140421-152210","id_str":"458264437355323392"}
FaktaMusik	{"userID":"631117048","text":"!! \u201c@eldihasbia: RT @soal_MUSIK: Cewe yg bisa maen alat musik itu punya nilai plus. #FaktaMusik\u201d","created_at":"20140325-081100","id_str":"448371458314883072"}
فولورز_موون_و_ڤِيكو_بيعملوا_فولو_لبعض	{"userID":"2213153262","text":"!! ﻧﺎﺱ ﺑﺘﺴﺘﻨﺎﻙ ﺗﻐﻠﻂ ﻋﺸﺎﻥ ﺗﻨﺴﺎﻙ ﻭﻧﺎﺱ ﻟﻤﺎ ﺑﺘﻐﻠﻂ ﺗﻨﺴﻰ ﻋﺸﺎﻥ ﻋﺎﻳﺰﺍﻙ ... #فولورز_موون_و_ڤِيكو_بيعملوا_فولو_لبعض #3alahwa","created_at":"20140326-021529","id_str":"448644377477677056"}
3alahwa	{"userID":"2213153262","text":"!! ﻧﺎﺱ ﺑﺘﺴﺘﻨﺎﻙ ﺗﻐﻠﻂ ﻋﺸﺎﻥ ﺗﻨﺴﺎﻙ ﻭﻧﺎﺱ ﻟﻤﺎ ﺑﺘﻐﻠﻂ ﺗﻨﺴﻰ ﻋﺸﺎﻥ ﻋﺎﻳﺰﺍﻙ ... #فولورز_موون_و_ڤِيكو_بيعملوا_فولو_لبعض #3alahwa","created_at":"20140326-021529","id_str":"448644377477677056"}
